date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:42:54	1473/1473	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2009%20Oct%202023%2015:42:55%20GMT	https://startuptemplate.vercel.app/robots.txt		(from )
17:42:55	12835/12835	---MCZ	200	added ('OK')	text/html	date:Mon,%2009%20Oct%202023%2015:42:55%20GMT	https://startuptemplate.vercel.app/	/home/lux/websites/vercel/startuptemplate.vercel.app/index.html	(from )
17:42:56	1040/1040	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2009%20Oct%202023%2015:42:57%20GMT	https://startuptemplate.vercel.app/dist/script.js	/home/lux/websites/vercel/startuptemplate.vercel.app/dist/script.js	(from https://startuptemplate.vercel.app/)
17:42:57	1597791/1597791	---MCZ	200	added ('OK')	text/css	date:Mon,%2009%20Oct%202023%2015:42:56%20GMT	https://startuptemplate.vercel.app/dist/styles.css	/home/lux/websites/vercel/startuptemplate.vercel.app/dist/styles.css	(from https://startuptemplate.vercel.app/)
17:42:57	6098/6098	---MCZ	200	added ('OK')	image/svg+xml	date:Mon,%2009%20Oct%202023%2015:42:58%20GMT	https://startuptemplate.vercel.app/dist/assets/Logo_black.svg	/home/lux/websites/vercel/startuptemplate.vercel.app/dist/assets/Logo_black.svg	(from https://startuptemplate.vercel.app/)
17:42:58	3670/3670	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2009%20Oct%202023%2015:42:59%20GMT	https://startuptemplate.vercel.app/howitworks	/home/lux/websites/vercel/startuptemplate.vercel.app/howitworks	(from https://startuptemplate.vercel.app/)
17:42:59	3670/3670	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2009%20Oct%202023%2015:43:00%20GMT	https://startuptemplate.vercel.app/features	/home/lux/websites/vercel/startuptemplate.vercel.app/features	(from https://startuptemplate.vercel.app/)
17:43:00	3670/3670	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2009%20Oct%202023%2015:43:01%20GMT	https://startuptemplate.vercel.app/pricing	/home/lux/websites/vercel/startuptemplate.vercel.app/pricing	(from https://startuptemplate.vercel.app/)
17:43:01	769/769	---M--	200	added ('OK')	image/svg+xml	date:Mon,%2009%20Oct%202023%2015:43:02%20GMT	https://startuptemplate.vercel.app/dist/assets/logos/Menu.svg	/home/lux/websites/vercel/startuptemplate.vercel.app/dist/assets/logos/Menu.svg	(from https://startuptemplate.vercel.app/)
17:43:02	307/307	---M--	200	added ('OK')	image/svg+xml	date:Mon,%2009%20Oct%202023%2015:43:03%20GMT	https://startuptemplate.vercel.app/dist/assets/logos/Cross.svg	/home/lux/websites/vercel/startuptemplate.vercel.app/dist/assets/logos/Cross.svg	(from https://startuptemplate.vercel.app/)
17:43:03	1207/1207	---MCZ	200	added ('OK')	image/svg+xml	date:Mon,%2009%20Oct%202023%2015:43:04%20GMT	https://startuptemplate.vercel.app/dist/assets/Highlight1.svg	/home/lux/websites/vercel/startuptemplate.vercel.app/dist/assets/Highlight1.svg	(from https://startuptemplate.vercel.app/)
17:43:05	122144/122144	---M--	200	added ('OK')	image/png	date:Mon,%2009%20Oct%202023%2015:43:05%20GMT	https://startuptemplate.vercel.app/dist/assets/MacBook%20Pro.png	/home/lux/websites/vercel/startuptemplate.vercel.app/dist/assets/MacBook%20Pro.png	(from https://startuptemplate.vercel.app/)
17:43:05	1201/1201	---MCZ	200	added ('OK')	image/svg+xml	date:Mon,%2009%20Oct%202023%2015:43:06%20GMT	https://startuptemplate.vercel.app/dist/assets/Highlight2.svg	/home/lux/websites/vercel/startuptemplate.vercel.app/dist/assets/Highlight2.svg	(from https://startuptemplate.vercel.app/)
